Название,Капитализация,Сектор,P/E,P/FCF,P/BV,P/S,EV/EBITDA,EV/S,EV/EBIT,"Див-д, частота",Debt/EBITDA,ROE,ROA,Оп. рент.,День,Неделя,Месяц,Квартал,Год
Пермэнергосбыт,115.9481,55,10.59,7.48,4.82,0.20,6.74,0.17,7.1,1,0.00,45.55,14.98,2.46,7.49,18.70,15.83,9.30,39.08
ФосАгро,9865.8325,15,11.90,12.71,5.36,2.34,7.12,2.76,9.98,4,1.25,44.98,17.16,29.96,-0.50,3.63,19.58,22.16,99.85
ФосАгро,9865.8325,15,11.90,12.71,5.36,2.34,7.12,2.76,9.98,4,1.25,44.98,17.16,29.96,-0.84,3.90,12.94,15.60,95.76
РусАква,664.4061,30,8.83,-18.29,3.72,4.93,8.39,5.61,9.27,3,1.40,42.13,22.77,37.82,-2.40,-1.61,18.28,40.49,124.03
ТамбЭнСб,14.0650,55,6.85,0.00,2.79,0.14,3.70,0.10,3.7,0,0.01,40.80,16.72,4.13,-0.64,11.28,3.53,29.01,87.39
ТамбЭнСб,14.0650,55,6.85,0.00,2.79,0.14,3.70,0.10,3.7,0,0.01,40.80,16.72,4.13,0.00,10.53,12.20,12.95,48.25
TCS Group Holdings,20851.3425,40,27.45,19.24,10.31,8.75,,,,2,,37.53,5.72,,3.81,8.93,12.02,16.59,309.95
Акрон,4775.2678,15,10.24,14.86,3.64,2.32,7.17,2.89,9.22,2,1.66,36.16,14.86,32.82,0.75,11.50,27.15,43.79,38.67
En+ Group,7833.5830,15,3.95,5.16,0.86,0.66,5.26,1.34,3.39,0,4.06,35.54,12.49,17.58,-1.71,7.21,6.76,12.48,27.89
НКХП,329.8779,30,7.73,8.35,2.75,3.13,5.68,3.14,6.12,3,0.52,35.54,25.32,51.37,-0.28,-1.53,-1.80,3.35,40.04
СтаврЭнСб,13.8252,55,3.20,0.00,1.13,0.04,3.71,0.07,3.71,1,1.93,35.24,9.36,3.06,3.42,5.71,20.33,22.65,75.73
СтаврЭнСб,13.8252,55,3.20,0.00,1.13,0.04,3.71,0.07,3.71,0,1.93,35.24,9.36,3.06,7.50,19.15,46.59,49.31,84.29
АЛРОСА,14133.6259,15,12.43,6.74,4.10,3.14,7.31,3.04,7.87,1,0.88,33.13,16.28,36.21,-2.80,5.77,-7.12,1.73,82.72
ММК,10680.4898,15,5.56,9.45,1.84,1.21,3.58,1.21,4.4,3,0.33,33.13,22.45,27.94,-2.88,-0.36,-10.98,10.58,97.25
Европейская Электротехника,60.5431,20,11.70,-26.15,3.81,1.18,9.39,1.34,9.91,2,1.25,32.53,13.61,13.7,1.12,2.27,-3.22,-2.43,-11.30
Таттелеком,204.2996,50,5.68,5.87,1.79,1.49,2.97,1.32,4.24,1,0.00,31.49,21.45,31.33,-2.53,-0.77,10.54,22.30,106.67
